dataset,config_id,relative_threshold,anchor_rule,normalization,standardize,screen,feature,kind,raw_block_dimension,empirical_rank,singular_values,relative_rank_threshold,anchor_count,anchor_indices,pivot_rank,anchor_gram_condition_number,anchor_gram_effective_condition_number,coordinate_dimension,reconstruction_error,global_rms_scale,standardized,constant_coordinates
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V7,continuous,8,8,"[28.650062962673516, 18.99286508609882, 12.019673472373604, 7.24085258481562, 3.3494568155022177, 1.7435307346014135, 1.0635915606152604, 0.9656271304498536]",0.001,8,"[141, 160, 10, 721, 252, 210, 167, 128]",8,3560.126428947312,3560.126428947187,8,9.300684068177607e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V8,continuous,8,8,"[33.93983689867996, 19.446074582281465, 11.566571428016251, 5.514178759863108, 2.785895774446247, 1.8875432344934815, 1.0091669460013424, 0.3449141239291649]",0.001,8,"[75, 314, 92, 721, 219, 36, 80, 111]",8,14373.925990530366,14373.925990529113,8,3.230070291166675e-14,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V9,continuous,8,8,"[35.998786995616754, 19.39512953368541, 11.029610758838865, 5.030255149134236, 1.4726558289876812, 1.2070206483424575, 1.0008165236497968, 0.23666576374575687]",0.001,8,"[80, 50, 144, 608, 721, 53, 241, 47]",8,14658.477541006409,14658.477540993334,8,1.5805371074187005e-14,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V10,continuous,8,8,"[36.3033950856744, 19.140499205196846, 10.781526408176836, 4.897019239430956, 2.1265400268637102, 1.4859829272000478, 1.0611719858483808, 0.2258846438317437]",0.001,8,"[32, 18, 93, 278, 721, 17, 28, 752]",8,39760.566999365044,39760.56699935798,8,1.5026311346749615e-14,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V11,continuous,8,8,"[34.822217447972456, 19.098364729053866, 10.34864589465269, 5.4886105215333085, 1.6210376691411188, 1.4310865947522138, 1.0006859097585101, 0.2980315764979516]",0.001,8,"[125, 313, 165, 389, 721, 96, 34, 355]",8,15145.233319378316,15145.233319392426,8,1.458493195677643e-14,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V12,continuous,8,8,"[32.55930054345064, 19.089237486624068, 11.13850337002844, 5.958507044098166, 2.3029601464271603, 1.0737198536867463, 1.0009084451490964, 0.4870942585331703]",0.001,8,"[120, 6, 7, 389, 721, 8, 59, 24]",8,5780.982201540972,5780.982201539173,8,6.573180548763792e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V13,continuous,8,8,"[36.55704338165456, 18.474573870650257, 10.070350196667972, 4.678090075281594, 1.3457835732619992, 1.0008725562707048, 1.0001146465331325, 0.19495574145277333]",0.001,8,"[216, 542, 13, 389, 114, 99, 68, 720]",8,37850.26271827687,37850.26271831759,8,3.8278989063393835e-14,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V14,continuous,8,8,"[30.569449368450837, 17.429125755519372, 10.496249786054141, 7.335177796908473, 3.054702555413326, 1.392414209136925, 1.0000005791232947, 0.6802560367962971]",0.001,8,"[154, 191, 210, 13, 389, 50, 470, 817]",8,5696.237336839812,5696.237336837558,8,6.665343588176186e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank_plus_one__N1_anchor_norm__std1,0.001,rank_plus_one,N1_anchor_norm,True,rank_anchor,V1,continuous,8,8,"[30.49738773845803, 17.41727765296808, 9.156153372382962, 7.190993591822369, 3.237380970470454, 2.329492742767183, 1.0000004524490287, 0.7564550782844814]",0.001,9,"[34, 271, 1, 12, 169, 67, 38, 956, 0]",8,1.2208841263833454e+17,1888.1528684451878,9,6.605462575904925e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank_plus_one__N1_anchor_norm__std1,0.001,rank_plus_one,N1_anchor_norm,True,rank_anchor,V2,continuous,8,8,"[31.97029661381492, 17.581263128522345, 11.333166200770963, 6.785197941937698, 3.0363492708747946, 1.4390404578940572, 1.1438028159640246, 0.5709328798636456]",0.001,9,"[130, 146, 137, 12, 16, 42, 441, 196, 0]",8,2.175641398467724e+17,13789.618814563642,9,1.485976413487262e-14,1.0,True,0.0
