dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,original_task,rotated_task,task_effect,disagreement,fit_seconds,interface_location
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,0,62892.00742381718,60172.48228246958,-2719.5251413476,0.21534980147641208,0.3033284561242908,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,1,62892.00742381718,63602.10432871938,710.0969049022024,0.22980765812724263,0.2729355210904032,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,2,62892.00742381718,61957.58809825412,-934.4193255630598,0.21001919957731377,0.30247976491227746,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,3,62892.00742381718,63627.181665288386,735.1742414712062,0.2115048299130868,0.24419448897242546,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,4,62892.00742381718,59400.708397949216,-3491.299025867964,0.23079925329047665,0.3634498987812549,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,5,62892.00742381718,60582.28038884846,-2309.727034968717,0.24506682004717353,0.40611578105017543,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,6,62892.00742381718,62056.110337335806,-835.8970864813746,0.1891633714361173,0.3954248840454966,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,rotated,7,62892.00742381718,62559.22082983702,-332.78659398016316,0.2499848319656155,0.5129961520433426,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,original,-1,65713.18727065451,65713.18727065451,0.0,0.0,0.8652959850151092,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,0,65713.18727065451,67949.32049934601,2236.1332286914985,0.20936114409031817,0.3033284561242908,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,1,65713.18727065451,65535.92694411921,-177.26032653530274,0.22843965460002075,0.2729355210904032,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,2,65713.18727065451,64746.84097239711,-966.3462982573983,0.22181960129807898,0.30247976491227746,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,3,65713.18727065451,66366.92437491224,653.7371042577288,0.2139751283392046,0.24419448897242546,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,4,65713.18727065451,66378.74210429695,665.5548336424399,0.23128599130332736,0.3634498987812549,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,5,65713.18727065451,68963.5917273461,3250.4044566915836,0.23065839905000446,0.40611578105017543,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,6,65713.18727065451,66185.52369845845,472.3364278039371,0.21478395787055102,0.3954248840454966,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,test,rotated,7,65713.18727065451,67884.71396671032,2171.5266960558074,0.25184991277175145,0.5129961520433426,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,original,-1,55800.35151465594,55800.35151465594,0.0,0.0,0.4228958960156888,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,0,55800.35151465594,56411.62412181062,611.2726071546858,0.21979609338270364,0.46141751389950514,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,1,55800.35151465594,56786.25801340199,985.9064987460515,0.21177276792709634,0.4110395279712975,embedding_to_backbone_boundary
