dataset,problem_type,model,method,seed,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,maximum_coordinate_error,median_empirical_rank,median_anchor_count,total_coordinate_dimension,maximum_reconstruction_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
steel-plates-fault,classification,controlled_mlp,SafeRankGram-t01,0.5,0.0,1.0,0.020954013186294786,0.020954013186294786,0.0,1.692015830712507e-15,8.0,8.0,202.0,8.257791514494117e-05,0.2244510183809325,0.0007159471235178309,0.0007159471235178309,0.6455976337440515,0.0,0.0,0.6448816866205338,0.0,0.0
steel-plates-fault,classification,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.0805939453492644,0.0,1.0,1.692015830712507e-15,8.0,8.0,202.0,8.257791514494117e-05,0.3282516715116799,0.03563396141569164,0.28740707634993934,0.6455976337440515,0.2517731149342477,7.13606580414676,0.6099636723283599,0.4128065293837595,0.0
steel-plates-fault,classification,resnet_tabular,SafeRankGram-t01,0.5,0.0,1.0,0.0805939453492644,0.0805939453492644,0.0,1.692015830712507e-15,8.0,8.0,202.0,8.257791514494117e-05,0.3282516715116799,0.03563396141569164,0.03563396141569164,0.6455976337440515,0.0,0.0,0.6099636723283599,0.0,0.0
steel-plates-fault,classification,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.008201153237240284,0.0,1.0,1.692015830712507e-15,8.0,8.0,202.0,8.257791514494117e-05,1.3098661969415843,0.000929436312625209,0.04767513953541734,0.6455976337440515,0.04674570322279213,55.05038833182941,0.6446681974314263,0.07250320257420254,0.0
steel-plates-fault,classification,tabm_d,SafeRankGram-t01,0.5,0.125,0.5,0.008201153237240284,0.0070575463486315364,0.12500001394424992,1.692015830712507e-15,8.0,8.0,202.0,8.257791514494117e-05,1.3098661969415843,0.000929436312625209,0.0027062902766122033,0.6455976337440515,0.001776853963986994,1.6973719245949155,0.6446681974314263,0.0027567321987702217,0.0
wilt,classification,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.0590998178945706,0.0,1.0,1.4584628754009917e-15,8.0,8.0,40.0,2.198407188227906e-14,0.2251762794330716,0.05095283975105557,0.03976946744136336,0.21210188110406236,-0.011183372309692213,-0.19257734746812305,0.16114904135300678,-0.07277787033669227,0.0
wilt,classification,controlled_mlp,SafeRankGram-t01,0.5,0.0,1.0,0.0590998178945706,0.0590998178945706,0.0,1.4584628754009917e-15,8.0,8.0,40.0,2.198407188227906e-14,0.2251762794330716,0.05095283975105557,0.05095283975105557,0.21210188110406236,0.0,0.0,0.16114904135300678,0.0,0.0
wilt,classification,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.0863013143594683,0.0,1.0,1.4584628754009917e-15,8.0,8.0,40.0,2.198407188227906e-14,0.23918707901611924,0.06571335280886036,0.04301296819214873,0.21210188110406236,-0.022700384616711627,-0.3200792709054245,0.146388528295202,-0.16364423029414868,0.0
wilt,classification,resnet_tabular,SafeRankGram-t01,0.5,0.0,1.0,0.0863013143594683,0.0863013143594683,0.0,1.4584628754009917e-15,8.0,8.0,40.0,2.198407188227906e-14,0.23918707901611924,0.06571335280886036,0.06571335280886036,0.21210188110406236,0.0,0.0,0.146388528295202,0.0,0.0
wilt,classification,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.0362137357610179,0.0,1.0,1.4584628754009917e-15,8.0,8.0,40.0,2.198407188227906e-14,0.14015334146097302,0.03146078625974328,0.32843359832903074,0.21210188110406236,0.2969728120692875,9.455991176136646,0.1806410948443191,1.6440246675813928,0.0
wilt,classification,tabm_d,SafeRankGram-t01,0.5,0.0,1.0,0.0362137357610179,0.0362137357610179,0.0,1.4584628754009917e-15,8.0,8.0,40.0,2.198407188227906e-14,0.14015334146097302,0.03146078625974328,0.03146078625974328,0.21210188110406236,0.0,0.0,0.1806410948443191,0.0,0.0
