dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
tabred-weather,mlp,20260850,anchor_riesz_representer,1.0,128,371585,371713,0.0003444703096196025,2773,371713,7,0.1600562483072281,0.19379960000514984,0.17015153169631958,1.7098511679576518,1.6021375146702326,1.1786448955535889,10.407937049865723,0.09116940200328827,9.740473206853494
tabred-weather,mlp,20260850,anchor_wrong_representer,1.0,128,371585,371713,0.0003444703096196025,2773,371713,7,0.1600562483072281,0.19379960000514984,0.17015153169631958,1.7098511679576518,1.6021375146702326,1.1786448955535889,10.407937049865723,0.09116940200328827,11.87243404891342
tabred-weather,mlp,20260851,anchor_riesz_representer,1.0,128,371585,371713,0.0003444703096196025,2773,371713,8,0.15115861594676971,0.18984992802143097,0.16965462267398834,1.6923378660874278,1.5997964117526635,1.1791657209396362,11.049314498901367,0.09116936475038528,12.114339291118085
tabred-weather,mlp,20260851,anchor_wrong_representer,1.0,128,371585,371713,0.0003444703096196025,2773,371713,8,0.15115861594676971,0.18984992802143097,0.16965462267398834,1.6923378660874278,1.5997964117526635,1.1791657209396362,11.049314498901367,0.09116936475038528,12.0896421240177
tabred-weather,mlp,20260852,anchor_riesz_representer,1.0,128,371585,371713,0.0003444703096196025,2773,371713,11,0.1429254710674286,0.18976415693759918,0.17104218900203705,1.6919556499275359,1.6063252240077759,1.874343752861023,12.016257286071777,0.09123749285936356,14.136603909078985
tabred-weather,mlp,20260852,anchor_wrong_representer,1.0,128,371585,371713,0.0003444703096196025,2773,371713,11,0.1429254710674286,0.18976415693759918,0.17104218900203705,1.6919556499275359,1.6063252240077759,1.874343752861023,12.016257286071777,0.09123749285936356,15.147527212044224
tabred-weather,resnet,20260850,anchor_riesz_representer,1.0,128,487681,487809,0.0002624666534066326,2773,487809,13,0.1535896360874176,0.18789082765579224,0.1683744192123413,1.6835834723343623,1.5937490159145682,10.341546058654785,12.646568298339844,0.09118808060884476,18.512984375935048
tabred-weather,resnet,20260850,anchor_wrong_representer,1.0,128,487681,487809,0.0002624666534066326,2773,487809,13,0.1535896360874176,0.18789082765579224,0.1683744192123413,1.6835834723343623,1.5937490159145682,10.341546058654785,12.646568298339844,0.09118808060884476,18.092049760976806
tabred-weather,resnet,20260851,anchor_riesz_representer,1.0,128,487681,487809,0.0002624666534066326,2773,487809,14,0.15454362332820892,0.18863114714622498,0.1691964566707611,1.6868970155787792,1.5976347258695682,24.70484733581543,13.8394775390625,0.09119535982608795,20.27852385188453
tabred-weather,resnet,20260851,anchor_wrong_representer,1.0,128,487681,487809,0.0002624666534066326,2773,487809,14,0.15454362332820892,0.18863114714622498,0.1691964566707611,1.6868970155787792,1.5976347258695682,24.70484733581543,13.8394775390625,0.09119535982608795,19.707010046811774
tabred-weather,resnet,20260852,anchor_riesz_representer,1.0,128,487681,487809,0.0002624666534066326,2773,487809,14,0.1389554738998413,0.18821290135383606,0.1697239875793457,1.685025869538606,1.6001234137671076,10.637674331665039,15.021149635314941,0.09125843644142151,18.518860904034227
tabred-weather,resnet,20260852,anchor_wrong_representer,1.0,128,487681,487809,0.0002624666534066326,2773,487809,14,0.1389554738998413,0.18821290135383606,0.1697239875793457,1.685025869538606,1.6001234137671076,10.637674331665039,15.021149635314941,0.09125843644142151,18.339593157870695
