domain,regime,seed,interface,chart,test_mse,seen_mse,held_mse,initial_native_cka,final_native_cka,final_corrupt_cka,orbit_damage
cycle16,category_holdout,7302,label,1,0.4997121551717281,0.25760809771493703,1.2260243275421014,0.1370582754818159,0.13705827452395733,0.1577628199522299,0.41174960136413574
cycle16,category_holdout,7302,label,2,1.0097464408918397,0.9064895551102813,1.3195170982365152,0.14989710751749316,0.14989711091770136,0.16592546470928163,0.33366093039512634
cycle16,category_holdout,7302,label,3,0.3447747039605846,0.16025323482507703,0.8983391113671074,0.353766118169278,0.3537661213013443,0.12362679621891474,0.41619959473609924
cycle16,category_holdout,7302,label,4,3.44262876392434,0.13094299369868811,13.377686074601295,0.059874421885079666,0.05987441973992648,0.15950278876751073,5.836645126342773
cycle16,category_holdout,7302,learned,0,0.9018320487362298,0.013559215049585939,3.5666505497961616,0.44747449782492615,0.4617850699619172,0.4540347068447476,1.533777117729187
cycle16,category_holdout,7302,learned,1,1.0297118511826244,0.013712807930855523,4.077708980937931,0.5065213372269625,0.525266042004294,0.45012716565682576,1.3530282974243164
cycle16,category_holdout,7302,learned,2,1.006474482033866,0.01290016285384258,3.9871974395739365,0.45795362120574257,0.4829522624404887,0.49973978086441956,1.2865488529205322
cycle16,category_holdout,7302,learned,3,0.8559178040113489,0.013406957749585136,3.38345034279664,0.46850948055953884,0.4871157646811058,0.49818111577704277,1.110565185546875
cycle16,category_holdout,7302,learned,4,0.6074091489740745,0.013411454247587237,2.389402233153536,0.45599874684240965,0.47143634301536175,0.46149566646130535,1.4035673141479492
cycle16,category_holdout,7302,random_fixed,0,0.581760255592783,0.013985333431906504,2.285085022075413,0.41568744289594867,0.41568744289594867,0.44287590539331373,3.691369584134241e-16
cycle16,category_holdout,7302,random_fixed,1,0.581760255592783,0.013985333431906504,2.285085022075413,0.41568744289594867,0.41568744289594867,0.44287590539331373,3.691369584134241e-16
cycle16,category_holdout,7302,random_fixed,2,0.581760255592783,0.013985333431906504,2.285085022075413,0.41568744289594867,0.41568744289594867,0.44287590539331373,3.691369584134241e-16
cycle16,category_holdout,7302,random_fixed,3,0.581760255592783,0.013985333431906504,2.285085022075413,0.41568744289594867,0.41568744289594867,0.44287590539331373,3.691369584134241e-16
cycle16,category_holdout,7302,random_fixed,4,0.581760255592783,0.013985333431906504,2.285085022075413,0.41568744289594867,0.41568744289594867,0.44287590539331373,3.691369584134241e-16
cycle16,category_holdout,7302,native_fixed,0,0.09533077098308819,0.012987865910976525,0.3423594861994232,0.9999999999999993,0.9999999999999993,0.47525102114367357,6.357761539454998e-16
cycle16,category_holdout,7302,native_fixed,1,0.09533077098308819,0.012987865910976525,0.3423594861994232,0.9999999999999993,0.9999999999999993,0.47525102114367357,6.357761539454998e-16
cycle16,category_holdout,7302,native_fixed,2,0.09533077098308819,0.012987865910976525,0.3423594861994232,0.9999999999999993,0.9999999999999993,0.47525102114367357,6.357761539454998e-16
cycle16,category_holdout,7302,native_fixed,3,0.09533077098308819,0.012987865910976525,0.3423594861994232,0.9999999999999993,0.9999999999999993,0.47525102114367357,6.357761539454998e-16
cycle16,category_holdout,7302,native_fixed,4,0.09533077098308819,0.012987865910976525,0.3423594861994232,0.9999999999999993,0.9999999999999993,0.47525102114367357,6.357761539454998e-16
cycle16,category_holdout,7302,native_tuned,0,0.12652468707523262,0.013273901595299753,0.46627704351503124,0.9999999999999993,0.998134384314079,0.46476693486449977,4.419208055050916e-16
cycle16,category_holdout,7302,native_tuned,1,0.12652468707523262,0.013273901595299753,0.46627704351503124,0.9999999999999993,0.998134384314079,0.46476693486449977,4.419208055050916e-16
cycle16,category_holdout,7302,native_tuned,2,0.12652468707523262,0.013273901595299753,0.46627704351503124,0.9999999999999993,0.998134384314079,0.46476693486449977,4.419208055050916e-16
cycle16,category_holdout,7302,native_tuned,3,0.12652468707523262,0.013273901595299753,0.46627704351503124,0.9999999999999993,0.998134384314079,0.46476693486449977,4.419208055050916e-16
cycle16,category_holdout,7302,native_tuned,4,0.12652468707523262,0.013273901595299753,0.46627704351503124,0.9999999999999993,0.998134384314079,0.46476693486449977,4.419208055050916e-16
cycle16,category_holdout,7302,corrupt_fixed,0,1.0161177074207413,0.01304744195541075,4.025328503816732,0.4752510265130261,0.4752510265130261,0.9999999999999992,5.353858090369201e-16
cycle16,category_holdout,7302,corrupt_fixed,1,1.0161177074207413,0.01304744195541075,4.025328503816732,0.4752510265130261,0.4752510265130261,0.9999999999999992,5.353858090369201e-16
cycle16,category_holdout,7302,corrupt_fixed,2,1.0161177074207413,0.01304744195541075,4.025328503816732,0.4752510265130261,0.4752510265130261,0.9999999999999992,5.353858090369201e-16
cycle16,category_holdout,7302,corrupt_fixed,3,1.0161177074207413,0.01304744195541075,4.025328503816732,0.4752510265130261,0.4752510265130261,0.9999999999999992,5.353858090369201e-16
cycle16,category_holdout,7302,corrupt_fixed,4,1.0161177074207413,0.01304744195541075,4.025328503816732,0.4752510265130261,0.4752510265130261,0.9999999999999992,5.353858090369201e-16
cycle16,category_holdout,7303,label,0,0.0322792724281839,0.025531888804001878,0.05252142330072999,0.4179633562379269,0.4179633554551599,0.0973038165918153,0.6798393130302429
cycle16,category_holdout,7303,label,1,1.132768143913573,0.9956399216672683,1.5441528106524869,0.24905719925999034,0.24905720080588478,0.19641180978824702,0.4000599682331085
cycle16,category_holdout,7303,label,2,1.7365482823600293,1.705344089877907,1.830160859806396,0.25013805282486706,0.25013805245128784,0.1097572841556764,0.7108533978462219
cycle16,category_holdout,7303,label,3,0.6968193294118463,0.23101246764540087,2.0942399147111828,0.14762229705832283,0.14762230000240265,0.22947650758279026,0.8897805213928223
