git_commit,git_dirty,task_id,task_seed,seed,model,split,training_seconds,operator_accuracy,post_change_train_rows,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,ContextCoefficients,future,2.1193712861277163,1.0,74,0.6986377062276006,0.930519451855222,0.997788830546678,0.047023073626912666,0.024657245285272827
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,MLP,future,0.7666939832270145,-1.0,74,18.748518233012874,23.675552727978445,-0.43143412784422064,1.196425563018536,0.7248214746714692
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,NeuralMoE,future,1.1368921569082886,-1.0,74,16.622504108119756,21.186363305891387,-0.14626212969568564,1.0706363199965174,0.6192485641499972
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,GlobalProgram,iid,0.10241818404756486,1.0,75,0.6086621759750415,0.9633417772588427,0.40244945575111,0.7730139353523261,0.39934988401436056
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,IndependentPrograms,iid,0.12370775197632611,1.0,75,0.00528101599047659,0.007469597518428487,0.9999640740501082,0.005993825981105474,0.003901026938622019
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,SharedStructureCoefficients,iid,0.0971615631133318,1.0,75,0.005280993065986325,0.007469554074111785,0.9999640744680086,0.005993791120100776,0.003900990005169758
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,ContextCoefficients,iid,0.8545376360416412,1.0,75,0.03654792801535223,0.12008268532573346,0.9907151554051852,0.09635789845578212,0.009176109034606559
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,MLP,iid,0.4522701599635184,-1.0,75,0.20441831115749665,0.3952201431449857,0.8994245466090329,0.31713633249908,0.1022572885635722
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,NeuralMoE,iid,0.9588157231919467,-1.0,75,0.25506003777263686,0.47230721266819625,0.8563640958899774,0.3789932771303769,0.1369240389938557
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,GlobalProgram,future,0.10241818404756486,1.0,75,16.62485238199588,20.266342599193415,-0.12298266945661607,1.0597087663394205,0.6070922112142594
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,IndependentPrograms,future,0.12370775197632611,1.0,75,0.16673304786672816,0.20971596429125164,0.9998797499467676,0.010965858526915909,0.006004914567095593
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,SharedStructureCoefficients,future,0.0971615631133318,1.0,75,0.16673134751382493,0.20971382031555144,0.9998797524054444,0.010965746420361251,0.006004875875345235
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,ContextCoefficients,future,0.8545376360416412,1.0,75,0.32283782371087,0.3765454286325405,0.999612334589335,0.01968922067185516,0.015337205014640327
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,MLP,future,0.4522701599635184,-1.0,75,9.111964025127236,11.30536762159688,0.650544667450772,0.5911474710672693,0.3314721041850697
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,2,NeuralMoE,future,0.9588157231919467,-1.0,75,11.13238379615359,14.730562006235113,0.40671833495359155,0.7702477945741932,0.4466752657382307
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,GlobalProgram,iid,0.10178088420070708,1.0,83,0.6431897558213677,0.9801348742608079,0.4001388780188343,0.7745070186777946,0.4355702941576651
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,IndependentPrograms,iid,0.12396417907439172,1.0,83,0.003191672236425802,0.006478330261964356,0.9999737937306808,0.005119205926621299,0.00129813126354687
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,SharedStructureCoefficients,iid,0.09947537002153695,1.0,83,0.0031916975444985086,0.006478338539713459,0.9999737936637102,0.005119212467736147,0.0012981638392651298
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,ContextCoefficients,iid,0.9813284140545875,1.0,83,0.055205124386702664,0.21915566250556393,0.9700094504473543,0.17317779751644172,0.012199879843187047
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,MLP,iid,0.4867299138568342,-1.0,83,0.2503253502509324,0.48660206853516674,0.8521480922122073,0.38451515937319386,0.10638742891287178
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,NeuralMoE,iid,1.2842886541038752,-1.0,83,0.22555729596933816,0.5022216647786937,0.842503858721369,0.39685783509794914,0.08223993159853282
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,GlobalProgram,future,0.10178088420070708,1.0,83,16.52004961014609,20.249227682319848,-0.11736703394494596,1.0570558329364377,0.6101190136918658
