panel,dataset,task,model,method,product_cells,score_bias,absolute_bias,score_rmse,max_absolute_score_error,clip_epsilon
confirmation,kdd17_stock_direction,binclass,catboost_native,independent_pair32,128,1.0377051269383486e-05,1.0377051269383486e-05,0.00012129150815120222,0.0003921525079468857,1e-12
confirmation,kdd17_stock_direction,binclass,catboost_native,mutually_disjoint_pack64,128,3.860690120038868e-06,3.860690120038868e-06,6.0701449903271e-05,0.00023902303798262192,1e-12
confirmation,kdd17_stock_direction,binclass,catboost_native,two_disjoint_pairs64,128,4.33779075748042e-06,4.33779075748042e-06,8.050911727610599e-05,0.00032527946087335113,1e-12
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,disjoint_pair32,128,0.00013819891435729037,0.00013819891435729037,0.0016459569282854271,0.005957726833939914,1e-12
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,independent_pair32,128,0.000303364818016183,0.000303364818016183,0.001789542144362401,0.00513915664146769,1e-12
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,mutually_disjoint_pack64,128,0.00012908214700513287,0.00012908214700513287,0.0009357809177074511,0.003690483949470691,1e-12
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,two_disjoint_pairs64,128,0.00015900305891269895,0.00015900305891269895,0.0011685292264935806,0.0041011508822591525,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,disjoint_pair32,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,independent_pair32,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,mutually_disjoint_pack64,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,two_disjoint_pairs64,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,disjoint_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,independent_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,mutually_disjoint_pack64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,two_disjoint_pairs64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,native_histgb,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,native_histgb,independent_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,native_histgb,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,native_histgb,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,catboost_native,disjoint_pair32,32,-2.0816681711721685e-17,2.0816681711721685e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,catboost_native,independent_pair32,32,-2.0816681711721685e-17,2.0816681711721685e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,catboost_native,mutually_disjoint_pack64,32,-2.0816681711721685e-17,2.0816681711721685e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,catboost_native,two_disjoint_pairs64,32,-2.0816681711721685e-17,2.0816681711721685e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,disjoint_pair32,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,independent_pair32,32,-3.0766142860017e-05,3.0766142860017e-05,0.006008986194157338,0.01852153947870694,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,disjoint_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,independent_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,mutually_disjoint_pack64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
