panel,dataset,task,model,method,product_cells,score_bias,score_rmse,max_absolute_score_error
menu_repeat,compustat_kor_direction,binclass,catboost_native,independent_cover_u128,128,-1.4102184984210453e-06,6.04553693578672e-05,0.0002045858361138242
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pack_cross128,128,1.1827684749943224e-06,7.45281242274426e-05,0.00023206325575358955
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_cover_u128,128,-4.660839183268095e-06,0.0001007906960974706,0.00040702222852695424
menu_repeat,credit_card_default,binclass,onehot_linear,disjoint_pack_cross128,32,-5.551115123125783e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,onehot_linear,independent_cover_u128,32,-5.551115123125783e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pack_cross128,32,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,ordinal_forest,independent_cover_u128,32,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17
menu_repeat,credit_card_default,binclass,native_histgb,disjoint_pack_cross128,32,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,native_histgb,independent_cover_u128,32,-1.2488049483394548e-10,3.652839609447826e-07,1.244345152140447e-06
menu_repeat,credit_card_default,binclass,catboost_native,disjoint_pack_cross128,32,5.551115123125783e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,catboost_native,independent_cover_u128,32,4.541572832250651e-07,2.5666267386380325e-05,7.35582933547585e-05
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,1.1102230246251565e-16,0.0,0.0
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,independent_cover_u128,32,-5.187926521710295e-07,7.176871269867825e-05,0.00022838480363690516
menu_repeat,credit_card_fraud,binclass,onehot_linear,disjoint_pack_cross128,32,-2.168404344971009e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,onehot_linear,independent_cover_u128,32,-2.168404344971009e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,ordinal_forest,disjoint_pack_cross128,32,4.336808689942018e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,ordinal_forest,independent_cover_u128,32,4.336808689942018e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,native_histgb,disjoint_pack_cross128,32,-2.168404344971009e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,native_histgb,independent_cover_u128,32,-4.451307402883464e-08,7.823226014718929e-07,2.314996271649168e-06
menu_repeat,credit_card_fraud,binclass,catboost_native,disjoint_pack_cross128,32,8.673617379884035e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,catboost_native,independent_cover_u128,32,6.835060268944523e-08,1.4765559545356843e-06,4.4795124483579946e-06
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,2.168404344971009e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,independent_cover_u128,32,1.0159941914579355e-07,2.626155434223089e-06,7.581379007878461e-06
menu_repeat,heloc_credit_risk,binclass,onehot_linear,disjoint_pack_cross128,32,-5.551115123125783e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,onehot_linear,independent_cover_u128,32,-2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,disjoint_pack_cross128,32,5.551115123125783e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,independent_cover_u128,32,5.551115123125783e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,native_histgb,disjoint_pack_cross128,32,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,native_histgb,independent_cover_u128,32,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,disjoint_pack_cross128,32,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,independent_cover_u128,32,-3.3209835124115017e-06,5.706583789886883e-05,0.00021270796093175726
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,1.1102230246251565e-16,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,independent_cover_u128,32,-4.1321873844313295e-06,7.146466727524892e-05,0.00019688188862770906
menu_repeat,kdd17_stock_return,regression,onehot_linear,disjoint_pack_cross128,64,5.551115123125783e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,onehot_linear,independent_cover_u128,64,5.551115123125783e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,ordinal_forest,disjoint_pack_cross128,64,1.1102230246251565e-16,0.0,0.0
menu_repeat,kdd17_stock_return,regression,ordinal_forest,independent_cover_u128,64,-4.854860268799222e-07,7.976750242807931e-05,0.0002556670761799107
