dataset,model,method,metric,exact_metric,bias,rmse
openml-tic-tac-toe-50,ordinal_forest,mutually_disjoint_pack64,accuracy,0.890625,-0.002746582031250009,0.004789693674987695
openml-tic-tac-toe-50,ordinal_forest,two_disjoint_pairs64,brier,0.19189682645638909,1.3145696125568346e-05,0.00034129455726781606
openml-tic-tac-toe-50,ordinal_forest,two_disjoint_pairs64,log_loss,0.34099158775781513,1.0572243601993537e-05,0.00039430171500563776
openml-tic-tac-toe-50,ordinal_forest,two_disjoint_pairs64,roc_auc,0.9889369889369889,-0.00015865030513463542,0.0003729715458369048
openml-tic-tac-toe-50,ordinal_forest,two_disjoint_pairs64,accuracy,0.890625,-0.003005981445312508,0.005301594230111444
openml-tic-tac-toe-50,onehot_adam_mlp,disjoint_pair32,brier,0.18956311967803283,0.0012103807989707616,0.021665985151332032
openml-tic-tac-toe-50,onehot_adam_mlp,disjoint_pair32,log_loss,0.347465728593112,0.0008699387055463603,0.027155668546658056
openml-tic-tac-toe-50,onehot_adam_mlp,disjoint_pair32,roc_auc,0.9802789802789803,-0.0007016547543891537,0.002964812244884027
openml-tic-tac-toe-50,onehot_adam_mlp,disjoint_pair32,accuracy,0.9479166666666666,-0.003697713216145803,0.016883990871407385
openml-tic-tac-toe-50,onehot_adam_mlp,independent_pair32,brier,0.18956311967803283,0.0007355639306888698,0.022073688564679835
openml-tic-tac-toe-50,onehot_adam_mlp,independent_pair32,log_loss,0.347465728593112,0.00020114630046496544,0.027680619683907205
openml-tic-tac-toe-50,onehot_adam_mlp,independent_pair32,roc_auc,0.9802789802789803,-0.0007546164772727521,0.0031396864048412213
openml-tic-tac-toe-50,onehot_adam_mlp,independent_pair32,accuracy,0.9479166666666666,-0.0037892659505208,0.017474587775470816
openml-tic-tac-toe-50,onehot_adam_mlp,mutually_disjoint_pack64,brier,0.18956311967803283,0.0006609808951504353,0.011990243365820495
openml-tic-tac-toe-50,onehot_adam_mlp,mutually_disjoint_pack64,log_loss,0.347465728593112,0.0006497558231614443,0.015058386014466492
openml-tic-tac-toe-50,onehot_adam_mlp,mutually_disjoint_pack64,roc_auc,0.9802789802789803,-0.00023216258567823253,0.0015098520397859535
openml-tic-tac-toe-50,onehot_adam_mlp,mutually_disjoint_pack64,accuracy,0.9479166666666666,-0.0017700195312499757,0.007220401371360284
openml-tic-tac-toe-50,onehot_adam_mlp,two_disjoint_pairs64,brier,0.18956311967803283,0.0013049638437204456,0.015043684013201603
openml-tic-tac-toe-50,onehot_adam_mlp,two_disjoint_pairs64,log_loss,0.347465728593112,0.0013372055759827786,0.018811555597514955
openml-tic-tac-toe-50,onehot_adam_mlp,two_disjoint_pairs64,roc_auc,0.9802789802789803,-0.00038928627795817587,0.0019428709571832794
openml-tic-tac-toe-50,onehot_adam_mlp,two_disjoint_pairs64,accuracy,0.9479166666666666,-0.0027008056640624722,0.010534258545107023
