dataset,model,task,total_nuisance_variance,quotient_test_loss,schema_only_variance,seed_only_variance,schema_seed_interaction_variance,feature_total_variance,category_total_variance,class_total_variance,seed_total_variance,main_pair_fraction,higher_order_fraction,iid16_residual_mean,srswor16_residual_mean,strength2_16_residual_mean,strength2_vs_iid16_reduction,wall_seconds,actions
openml-abalone-183,xgboost,regression,0.00387334541723912,0.4098652819213727,0.00387334541723912,0.0,0.0,0.001352627012433436,0.003215621075552278,0.0,0.0,1.0,0.0,0.00023549305194783793,0.00018360247812183061,0.0,1.0,3.635286982404068,64
openml-abalone-183,lightgbm,regression,0.0,0.40615584583209147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654184785671532,64
openml-kin8nm-189,onehot_linear,regression,4.257282037073732e-15,0.5667088308005542,4.257282037073732e-15,0.0,0.0,4.257282037073732e-15,0.0,0.0,0.0,1.0,0.0,2.7738550325767406e-16,0.0,0.0,1.0,0.007128220051527023,16
openml-kin8nm-189,native_histgb,regression,0.0,0.2999257305525022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6853369397576898,16
openml-kin8nm-189,catboost_native,regression,0.006547204141512894,0.2667847898823624,0.001286554488103896,0.0013588355524099156,0.0039018141009990823,0.005188368589102979,0.0,0.0,0.005260649653408998,1.0,0.0,0.00041639292193468156,0.0,0.0,1.0,2.225454761646688,16
openml-kin8nm-189,xgboost,regression,0.00018309348197345724,0.3145087678456166,0.00018309348197345724,0.0,0.0,0.00018309348197345724,0.0,0.0,0.0,1.0,0.0,1.133915685465207e-05,0.0,0.0,1.0,1.8618186141829938,16
openml-kin8nm-189,lightgbm,regression,0.0,0.28935718268844085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0148609010502696,16
openml-pol-201,onehot_linear,regression,5.51488658800031e-13,0.5237700442842051,5.51488658800031e-13,0.0,0.0,5.51488658800031e-13,0.0,0.0,0.0,1.0,0.0,3.315062741294812e-14,0.0,0.0,1.0,0.01135452464222908,16
openml-pol-201,native_histgb,regression,0.00017391008506600073,0.03074671491537475,0.00017391008506600073,0.0,0.0,0.00017391008506600073,0.0,0.0,0.0,1.0,0.0,1.0274961080559612e-05,0.0,0.0,1.0,3.004541387083009,16
openml-pol-201,catboost_native,regression,0.0019881302778855924,0.058647083842483516,0.0004248114904477771,0.0004221267136252529,0.0011411920738125623,0.0015660035642603397,0.0,0.0,0.0015633187874378154,1.0,0.0,0.00012203046151830989,0.0,0.0,1.0,2.3249065198469907,16
openml-pol-201,xgboost,regression,0.00018289441355499316,0.03807563366076793,0.00018289441355499316,0.0,0.0,0.00018289441355499316,0.0,0.0,0.0,1.0,0.0,1.1265462746108025e-05,0.0,0.0,1.0,1.6599733177572489,16
openml-pol-201,lightgbm,regression,0.00013304031996195633,0.03207262051167479,0.00013304031996195633,0.0,0.0,0.00013304031996195633,0.0,0.0,0.0,1.0,0.0,8.43411533612988e-06,0.0,0.0,1.0,0.7668562035541981,16
openml-puma32h-308,onehot_linear,regression,3.2107120561270788e-15,0.9321246316058631,3.2107120561270788e-15,0.0,0.0,3.2107120561270788e-15,0.0,0.0,0.0,1.0,0.0,2.2648170546438444e-16,0.0,0.0,1.0,0.012398075312376022,16
openml-puma32h-308,native_histgb,regression,0.0,0.07514697215877596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.808878908166662,16
openml-puma32h-308,catboost_native,regression,0.0033901604377792236,0.08474839371657895,0.0007788840233191696,0.0006380141193190478,0.001973262295141006,0.002752146318460176,0.0,0.0,0.002611276414460054,1.0,0.0,0.0002025710101702898,0.0,0.0,1.0,6.580433904193342,16
openml-puma32h-308,xgboost,regression,4.798885209392899e-05,0.07465272945251866,4.798885209392899e-05,0.0,0.0,4.798885209392899e-05,0.0,0.0,0.0,1.0,0.0,2.8436069477283535e-06,0.0,0.0,1.0,7.135121900122613,16
openml-puma32h-308,lightgbm,regression,0.0,0.0744876347270755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.341011024545878,16
