dataset,problem_type,model,seed,embedding,k,default_task_error,mean_random_basis_error,best_random_basis_error,worst_random_basis_error,validation_selected_member,validation_selected_basis_error,oracle_best_test_member,oracle_best_test_error,default_is_best_test_basis,default_minus_best_random,validation_selected_minus_default,raw_disagreement
cardiotocography,classification,resnet_tabular,1,RBF,8,0.010490307688052277,0.003346182607914513,0.00048245295598991236,0.010788887698021015,3,0.003343111923497479,1,0.00048245295598991236,False,0.010007854732062366,-0.007147195764554798,0.012529759708717877
cardiotocography,classification,resnet_tabular,1,RBF,16,0.010799151463995769,0.03232259727554582,0.01295298273897855,0.05472340255788109,6,0.02570991695415917,-1,0.010799151463995769,True,-0.0021538312749827815,0.014910765490163402,0.029817118854959964
cardiotocography,classification,tabm_d,0,PLE,8,0.0076688819610814,0.01230288381343775,0.006885386674161481,0.020884223643055644,-1,0.0076688819610814,6,0.006885386674161481,False,0.0007834952869199188,0.0,0.008942620989580385
cardiotocography,classification,tabm_d,0,PLE,16,0.019929583530280272,0.03369101137252409,0.02359114822666386,0.039525474294922834,1,0.02359114822666386,-1,0.019929583530280272,True,-0.0036615646963835888,0.0036615646963835888,0.01860457657743795
cardiotocography,classification,tabm_d,0,RBF,8,0.016143835104759648,0.018704773035558238,0.011588363198131155,0.04503309572481068,6,0.01255958799035373,0,0.011588363198131155,False,0.004555471906628493,-0.0035842471144059175,0.0108177321588921
cardiotocography,classification,tabm_d,0,RBF,16,0.039994897863843845,0.03915507635166017,0.02279390356033347,0.043924432601541254,5,0.02279390356033347,5,0.02279390356033347,False,0.017200994303510374,-0.017200994303510374,0.01630663176042048
cardiotocography,classification,tabm_d,1,PLE,8,0.014955656132235455,0.02042948951472904,0.011804898228026188,0.025205377205848995,2,0.012381680931655164,1,0.011804898228026188,False,0.003150757904209267,-0.002573975200580291,0.010492101393057507
cardiotocography,classification,tabm_d,1,PLE,16,0.008116754296437148,0.025439368896411782,0.01858350817535956,0.04593413864212467,-1,0.008116754296437148,-1,0.008116754296437148,True,-0.010466753878922411,0.0,0.017842329656447286
cardiotocography,classification,tabm_d,1,RBF,8,0.01527175008277046,0.027571721763879828,0.012713279211469503,0.051142103895892015,1,0.012713279211469503,1,0.012713279211469503,False,0.002558470871300957,-0.002558470871300957,0.013999631213259997
cardiotocography,classification,tabm_d,1,RBF,16,0.0398282136974498,0.04012282965219116,0.026888838091986975,0.050178199097933224,5,0.027330107020559956,4,0.026888838091986975,False,0.012939375605462825,-0.012498106676889845,0.014462387041474062
debutanizer,regression,controlled_mlp,0,PLE,8,0.0932109293029209,0.09505699922585151,0.09088823887027858,0.10123096165273665,5,0.09363426566047904,6,0.09088823887027858,False,0.002322690432642313,0.00042333635755814614,0.2024575446688477
debutanizer,regression,controlled_mlp,0,PLE,16,0.08921366460621644,0.09030737876564043,0.08800692445694597,0.0931245392978047,0,0.09214657952875287,3,0.08800692445694597,False,0.0012067401492704688,0.002932914922536431,0.2224324207361518
debutanizer,regression,controlled_mlp,0,RBF,8,0.11677569363530456,0.1132056322843458,0.11020274728009516,0.11753028245473074,0,0.11203154010235133,3,0.11020274728009516,False,0.0065729463552094,-0.004744153532953224,0.20977188597066793
debutanizer,regression,controlled_mlp,0,RBF,16,0.12326709643202034,0.1193504301721944,0.10956189656705201,0.12244780677310091,3,0.10956189656705201,3,0.10956189656705201,False,0.013705199864968334,-0.013705199864968334,0.17059645760234776
debutanizer,regression,controlled_mlp,1,PLE,8,0.08907852505375234,0.09243259567700302,0.08850458212312698,0.09673814889690664,-1,0.08907852505375234,4,0.08850458212312698,False,0.0005739429306253624,0.0,0.23521243867053646
debutanizer,regression,controlled_mlp,1,PLE,16,0.0894658393175622,0.0896251639787577,0.08545511791794107,0.09512367254677263,0,0.09004761007246871,4,0.08545511791794107,False,0.004010721399621137,0.0005817707549065076,0.21608226217097798
debutanizer,regression,controlled_mlp,1,RBF,8,0.11337506654719928,0.11202864077792843,0.10685231361195541,0.11800845007753502,6,0.10685231361195541,6,0.10685231361195541,False,0.006522752935243875,-0.006522752935243875,0.1856424138103072
debutanizer,regression,controlled_mlp,1,RBF,16,0.12054892928956597,0.11768587378791082,0.11458901532988658,0.12222716063102175,7,0.11491967507571395,5,0.11458901532988658,False,0.005959913959679389,-0.00562925421385202,0.23576912812779457
debutanizer,regression,resnet_tabular,0,PLE,8,0.08066597320258072,0.07939658080031861,0.0757578462837989,0.08234685880247114,2,0.07801192342179038,7,0.0757578462837989,False,0.004908126918781813,-0.0026540497807903407,0.3196805799272217
debutanizer,regression,resnet_tabular,0,PLE,16,0.07965477896432631,0.0842357915202543,0.07960012789528909,0.09290557076628457,6,0.07960012789528909,6,0.07960012789528909,False,5.4651069037223166e-05,-5.4651069037223166e-05,0.28744556224958195
