dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,1.0,0.001,0.4691592141672922,0.505281078167283,0.2839192599058151
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,1.0,0.001,0.4696148570256632,0.5054975905769762,0.3424815768375993
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,1.0,0.001,0.4693498139351463,0.5055656126420817,0.20312930410727859
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,2.0,0.002,0.47392880965307993,0.5096204022571968,0.17560349497944117
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,2.0,0.002,0.47403978052143303,0.5098860181223712,0.21845548902638257
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,2.0,0.002,0.4739532141024455,0.5094240571456142,0.17432778282091022
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,2.0,0.002,0.47387917305034133,0.5098789811145436,0.2036357771139592
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,2.0,0.002,0.473899894708116,0.5098918164804409,0.14274673606269062
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,2.0,0.002,0.4739315965879003,0.5100362248748581,0.2310074141714722
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,2.0,0.002,0.47379468663869095,0.5097312887776042,0.17728932411409914
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,2.0,0.002,0.47430223452582254,0.5099689038502117,0.16581161599606276
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,2.0,0.002,0.47405680328803923,0.509959452468109,0.18673237785696983
