dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
phoneme,classification,catboost,0,local_vs_spectral_hat,GramAnchor,validation,1.9568997611320004e-16,1.312377686351325e-16,0.0,1.0,0.2670310888442672,0.0314524946854956
phoneme,classification,catboost,0,local_vs_spectral_hat,Raw,test,1.9568997611320004e-16,0.0,0.0616863388877805,0.0,0.3043307470220554,0.0
phoneme,classification,catboost,0,local_vs_spectral_hat,GramAnchor,test,1.9568997611320004e-16,1.312377686351325e-16,0.0,1.0,0.3030904259503406,-0.004075569372637
phoneme,classification,catboost,1,local_vs_spectral_hat,Raw,validation,1.9568997611320004e-16,0.0,0.0618078400775174,0.0,0.2665928936421174,0.0
phoneme,classification,catboost,1,local_vs_spectral_hat,GramAnchor,validation,1.9568997611320004e-16,1.312377686351325e-16,0.0,1.0,0.2745094315825414,0.0296952324282558
phoneme,classification,catboost,1,local_vs_spectral_hat,Raw,test,1.9568997611320004e-16,0.0,0.062224194723164,0.0,0.3054450903104318,0.0
phoneme,classification,catboost,1,local_vs_spectral_hat,GramAnchor,test,1.9568997611320004e-16,1.312377686351325e-16,0.0,1.0,0.2991641441095271,-0.0205632580131545
phoneme,classification,catboost,2,local_vs_spectral_hat,Raw,validation,1.9568997611320004e-16,0.0,0.062141932856842,0.0,0.2593760622076206,0.0
phoneme,classification,catboost,2,local_vs_spectral_hat,GramAnchor,validation,1.9568997611320004e-16,1.312377686351325e-16,0.0,1.0,0.2662349855208303,0.0264439333947453
phoneme,classification,catboost,2,local_vs_spectral_hat,Raw,test,1.9568997611320004e-16,0.0,0.0617970829873574,0.0,0.2974941735291384,0.0
phoneme,classification,catboost,2,local_vs_spectral_hat,GramAnchor,test,1.9568997611320004e-16,1.312377686351325e-16,0.0,1.0,0.3077628035820756,0.034517079548556
wine-quality-red,regression,catboost,0,local_vs_spectral_hat,Raw,validation,2.0028348924293496e-16,0.0,0.1137384393914572,0.0,0.6397028720818211,0.0
wine-quality-red,regression,catboost,0,local_vs_spectral_hat,GramAnchor,validation,2.0028348924293496e-16,9.723333224939051e-17,0.0,1.0,0.6410550076836063,0.002113693186002
wine-quality-red,regression,catboost,0,local_vs_spectral_hat,Raw,test,2.0028348924293496e-16,0.0,0.115224462775243,0.0,0.6510530490482229,0.0
wine-quality-red,regression,catboost,0,local_vs_spectral_hat,GramAnchor,test,2.0028348924293496e-16,9.723333224939051e-17,0.0,1.0,0.6517981253492914,0.0011444171902085
wine-quality-red,regression,catboost,1,local_vs_spectral_hat,Raw,validation,2.0028348924293496e-16,0.0,0.0980005184260385,0.0,0.639397233860171,0.0
wine-quality-red,regression,catboost,1,local_vs_spectral_hat,GramAnchor,validation,2.0028348924293496e-16,9.723333224939051e-17,0.0,1.0,0.646098269451257,0.0104802386313599
wine-quality-red,regression,catboost,1,local_vs_spectral_hat,Raw,test,2.0028348924293496e-16,0.0,0.1085530254459736,0.0,0.645943080660962,0.0
wine-quality-red,regression,catboost,1,local_vs_spectral_hat,GramAnchor,test,2.0028348924293496e-16,9.723333224939051e-17,0.0,1.0,0.6487626377971129,0.0043650241338072
wine-quality-red,regression,catboost,2,local_vs_spectral_hat,Raw,validation,2.0028348924293496e-16,0.0,0.1036873109769084,0.0,0.646511740661722,0.0
