git_commit,git_dirty,task_id,task_seed,seed,alpha,model,split,magnitude_multiplier,training_seconds,residual_usage,gate_mean,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,PenalizedScalarResidual,iid,1.0,0.6585126668214798,0.08919139790124067,0.053087398409843445,0.023422075600380066,0.03078524310635273,0.9996381094627472,0.019023420755814226,0.017110706946244954
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,AdaptiveResidual,iid,1.0,0.9101718019228429,0.08893649422633085,0.048929672746453434,0.022281882687004612,0.029230712727655938,0.9996737347186757,0.01806281487820328,0.01594912036486882
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,PureMLP,iid,1.0,0.7752223720308393,-1.0,-1.0,0.09984161211217213,0.12167719467886375,0.9943465907011046,0.07518915679069263,0.07733133789791319
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,PureProgram,ood,4.0,0.0,0.0,0.0,0.14293898929085458,0.1668596983743162,0.9995185871283544,0.021941122843773486,0.0250764558336605
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,UnpenalizedResidual,ood,4.0,0.653706505196169,0.4109841378013937,1.0,2.8041675479789983,3.125790090620539,0.8310592532077151,0.4110240221596359,0.46943578579444867
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,PenalizedScalarResidual,ood,4.0,0.6585126668214798,0.23286440268598316,0.053087398409843445,1.600732705878225,1.7710084197337506,0.9457679474932217,0.23287776301480217,0.26780328573811085
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,AdaptiveResidual,ood,4.0,0.9101718019228429,0.20380335645287956,0.04937693967985979,1.3779630274977772,1.5578485849236439,0.9580371208945879,0.20484842958981192,0.23372860346046712
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,PureMLP,ood,4.0,0.7752223720308393,-1.0,-1.0,1.2444391641678578,1.5355128463154448,0.9592317848877383,0.2019114041164137,0.22850565744986354
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,PureProgram,iid,1.0,0.0,0.0,0.0,0.1325467417322983,0.15968943888463005,0.9902625679062389,0.09867842770211295,0.09935024583253492
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,UnpenalizedResidual,iid,1.0,0.6726063219830394,0.0952267498360344,1.0,0.041480979823356814,0.05316991510223379,0.9989204966708543,0.0328557959749225,0.028984689069094065
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,PenalizedScalarResidual,iid,1.0,0.7915857629850507,0.08879672141008225,0.05002118647098541,0.022140619982756037,0.029278126346495,0.999672675424371,0.018092113630778183,0.015461332919947866
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,AdaptiveResidual,iid,1.0,1.0300026689656079,0.08879732752112597,0.04244069423657493,0.023623370365975074,0.031532632754163466,0.9996203245486386,0.01948526241448573,0.015851761936530172
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,PureMLP,iid,1.0,0.7298050539102405,-1.0,-1.0,0.10033825610342717,0.12210826650765957,0.9943064625180488,0.07545553314337666,0.07558587418500748
