scope,task_type,unit,lambda,loss
synthetic_test,classification,n64_d8_r0.00,0.30000000000000004,0.6276651433421319
synthetic_test,classification,n64_d8_r0.00,0.4,0.6271015782542728
synthetic_test,classification,n64_d8_r0.00,0.5,0.6267358690708968
synthetic_test,classification,n64_d8_r0.00,0.6000000000000001,0.6265719493726045
synthetic_test,classification,n64_d8_r0.00,0.7000000000000001,0.6266155185468223
synthetic_test,classification,n64_d8_r0.00,0.8,0.6268743290122173
synthetic_test,classification,n64_d8_r0.00,0.9,0.6273586324602545
synthetic_test,classification,n64_d8_r0.00,1.0,0.6280818699376357
synthetic_test,classification,n64_d8_r0.25,0.0,0.6252058272687716
synthetic_test,classification,n64_d8_r0.25,0.1,0.6239266417438587
synthetic_test,classification,n64_d8_r0.25,0.2,0.6228508640805229
synthetic_test,classification,n64_d8_r0.25,0.30000000000000004,0.6219767411133591
synthetic_test,classification,n64_d8_r0.25,0.4,0.6213041869847856
synthetic_test,classification,n64_d8_r0.25,0.5,0.6208347545836879
synthetic_test,classification,n64_d8_r0.25,0.6000000000000001,0.6205716994934427
synthetic_test,classification,n64_d8_r0.25,0.7000000000000001,0.6205201431572047
synthetic_test,classification,n64_d8_r0.25,0.8,0.6206873594927528
synthetic_test,classification,n64_d8_r0.25,0.9,0.621083234995251
synthetic_test,classification,n64_d8_r0.25,1.0,0.6217209988763667
synthetic_test,classification,n64_d8_r0.50,0.0,0.6272734207801789
synthetic_test,classification,n64_d8_r0.50,0.1,0.6260702614473601
synthetic_test,classification,n64_d8_r0.50,0.2,0.6250795779224458
synthetic_test,classification,n64_d8_r0.50,0.30000000000000004,0.6242998489782395
synthetic_test,classification,n64_d8_r0.50,0.4,0.6237314142936865
synthetic_test,classification,n64_d8_r0.50,0.5,0.623376430666711
synthetic_test,classification,n64_d8_r0.50,0.6000000000000001,0.6232389502261451
synthetic_test,classification,n64_d8_r0.50,0.7000000000000001,0.6233251248767934
synthetic_test,classification,n64_d8_r0.50,0.8,0.6236435687268165
synthetic_test,classification,n64_d8_r0.50,0.9,0.6242059492155605
synthetic_test,classification,n64_d8_r0.50,1.0,0.6250279506497193
synthetic_test,classification,n64_d8_r0.75,0.0,0.6235027636911566
synthetic_test,classification,n64_d8_r0.75,0.1,0.6217910661492795
synthetic_test,classification,n64_d8_r0.75,0.2,0.6203025690928302
synthetic_test,classification,n64_d8_r0.75,0.30000000000000004,0.6190358971145073
synthetic_test,classification,n64_d8_r0.75,0.4,0.6179915150959303
synthetic_test,classification,n64_d8_r0.75,0.5,0.6171717767045178
synthetic_test,classification,n64_d8_r0.75,0.6000000000000001,0.61658109271194
synthetic_test,classification,n64_d8_r0.75,0.7000000000000001,0.6162262532063916
synthetic_test,classification,n64_d8_r0.75,0.8,0.6161169804516072
synthetic_test,classification,n64_d8_r0.75,0.9,0.6162668787529927
synthetic_test,classification,n64_d8_r0.75,1.0,0.6166951765978387
synthetic_test,classification,n64_d8_r1.00,0.0,0.6305418321367381
synthetic_test,classification,n64_d8_r1.00,0.1,0.6289297175036512
synthetic_test,classification,n64_d8_r1.00,0.2,0.6275295512692474
synthetic_test,classification,n64_d8_r1.00,0.30000000000000004,0.6263376660965266
synthetic_test,classification,n64_d8_r1.00,0.4,0.6253522457033761
synthetic_test,classification,n64_d8_r1.00,0.5,0.6245731840649545
synthetic_test,classification,n64_d8_r1.00,0.6000000000000001,0.6240020577200338
synthetic_test,classification,n64_d8_r1.00,0.7000000000000001,0.6236422010581569
synthetic_test,classification,n64_d8_r1.00,0.8,0.6234988950176656
synthetic_test,classification,n64_d8_r1.00,0.9,0.6235797035859075
synthetic_test,classification,n64_d8_r1.00,1.0,0.6238950314586307
synthetic_test,classification,n96_d12_r0.00,0.0,0.6264081697142507
synthetic_test,classification,n96_d12_r0.00,0.1,0.6248903157518133
synthetic_test,classification,n96_d12_r0.00,0.2,0.6236249651921764
synthetic_test,classification,n96_d12_r0.00,0.30000000000000004,0.6226106648986126
synthetic_test,classification,n96_d12_r0.00,0.4,0.6218487717743576
synthetic_test,classification,n96_d12_r0.00,0.5,0.6213434954368352
synthetic_test,classification,n96_d12_r0.00,0.6000000000000001,0.6211021812539221
synthetic_test,classification,n96_d12_r0.00,0.7000000000000001,0.6211358856155581
synthetic_test,classification,n96_d12_r0.00,0.8,0.6214603814943612
synthetic_test,classification,n96_d12_r0.00,0.9,0.6220978966474237
synthetic_test,classification,n96_d12_r0.00,1.0,0.6230802771726197
synthetic_test,classification,n96_d12_r0.25,0.0,0.6244353439694309
synthetic_test,classification,n96_d12_r0.25,0.1,0.6225999429422139
synthetic_test,classification,n96_d12_r0.25,0.2,0.6210040637810691
synthetic_test,classification,n96_d12_r0.25,0.30000000000000004,0.6196446084861873
synthetic_test,classification,n96_d12_r0.25,0.4,0.6185207477932215
synthetic_test,classification,n96_d12_r0.25,0.5,0.6176338296284116
synthetic_test,classification,n96_d12_r0.25,0.6000000000000001,0.6169874365026324
synthetic_test,classification,n96_d12_r0.25,0.7000000000000001,0.6165875944910637
synthetic_test,classification,n96_d12_r0.25,0.8,0.6164431690566478
synthetic_test,classification,n96_d12_r0.25,0.9,0.6165665307320392
synthetic_test,classification,n96_d12_r0.25,1.0,0.6169746677138611
synthetic_test,classification,n96_d12_r0.50,0.0,0.6277990820388514
synthetic_test,classification,n96_d12_r0.50,0.1,0.6261570519758508
synthetic_test,classification,n96_d12_r0.50,0.2,0.6247677633029054
synthetic_test,classification,n96_d12_r0.50,0.30000000000000004,0.6236278052277532
synthetic_test,classification,n96_d12_r0.50,0.4,0.6227362407573513
synthetic_test,classification,n96_d12_r0.50,0.5,0.6220945355694691
synthetic_test,classification,n96_d12_r0.50,0.6000000000000001,0.6217066481496715
