dataset,problem_type,model,variant,scope,selected_feature,mean_disagreement,mean_disagreement_seed_sd,max_disagreement,label_flip_rate,task_original,orbit_mean,orbit_worst,orbit_best,orbit_span,seeds,meaningful
bike-sharing,regression,controlled_mlp,orthogonal_one,one,feel_temp,0.09869726437191588,0.0038213639187055295,0.12036506744286911,,77.83819177297521,76.71743046447837,79.32841428020633,74.97879095540948,4.349623324796838,3,True
bike-sharing,regression,tabicl_v2,condition_le_3_all,all,feel_temp,0.20511260352954955,0.0,0.2404172597512659,,70.53192975681488,76.69896275627995,82.35329572122627,69.41298430376031,12.940311417465963,3,True
bike-sharing,regression,tabicl_v2,orthogonal_all,all,feel_temp,0.21117258434090339,0.0,0.2522135851366338,,70.53192975681488,78.06984438774346,83.95358555540504,71.8937713294574,12.059814225947648,3,True
bike-sharing,regression,tabicl_v2,orthogonal_one,one,feel_temp,0.11979162335704603,0.0,0.1303148481350254,,70.53192975681488,74.41463061491663,75.72306414667514,70.61620315886474,5.106860987810407,3,True
bike-sharing,regression,tabm_d,condition_le_3_all,all,feel_temp,0.1595322157165384,0.005858334319491699,0.19759615739337524,,63.48101664306778,60.25214230434185,62.96539452082438,57.006162003063174,5.9592325177611984,3,True
bike-sharing,regression,tabm_d,orthogonal_all,all,feel_temp,0.1500929979238975,0.006622670971150195,0.18058074599873286,,63.48101664306778,61.105681200170864,64.38620756640925,58.29788430772882,6.08832325868043,3,True
bike-sharing,regression,tabm_d,orthogonal_one,one,feel_temp,0.03902385098178867,0.0020808527857672657,0.04654110107526987,,63.48101664306778,64.28552908621639,64.84423036320491,63.692838655874795,1.1513917073301176,3,False
bike-sharing,regression,tabpfn_2_6,condition_le_3_all,all,feel_temp,0.07553615273285624,0.003235919194039077,0.08467646676766827,,53.827012894425,55.57297016005969,56.809093189929776,54.849257953170714,1.9598352367590621,3,True
bike-sharing,regression,tabpfn_2_6,orthogonal_all,all,feel_temp,0.07514883116026234,0.004322439204277671,0.08436614371772953,,53.827012894425,55.32215190923842,56.887037848291214,54.07495107787506,2.8120867704161463,3,True
bike-sharing,regression,tabpfn_2_6,orthogonal_one,one,feel_temp,0.0260815879771923,0.003801906304761741,0.031296913296102666,,53.827012894425,54.32977760893679,54.882887961280765,53.93653736907782,0.9463505922029493,3,False
california_housing,regression,catboost,condition_le_3_all,all,total_rooms,0.1253160393258671,0.0032641604964172887,0.14162778481682536,,61831.742501776396,62390.74252834393,63655.86341697195,61379.039616533446,2276.8238004385034,3,True
california_housing,regression,catboost,orthogonal_all,all,total_rooms,0.12396234109436483,0.004237569672731152,0.13370067403395247,,61831.742501776396,62156.77436969775,63130.318399603566,61476.70454612101,1653.6138534825611,3,True
california_housing,regression,catboost,orthogonal_one,one,total_rooms,0.08718233643333302,0.004071347248012637,0.08996510797748614,,61831.742501776396,62140.351163298365,62489.32210073966,61744.59256744928,744.7295332903765,3,True
california_housing,regression,controlled_mlp,condition_le_3_all,all,total_rooms,0.1546376177423048,0.013496915211492695,0.19909522208706698,,64967.51977380738,66477.43916569532,67413.0664054115,65444.41340651087,1968.6529989006278,3,True
california_housing,regression,controlled_mlp,orthogonal_all,all,total_rooms,0.12996706159982477,0.019240552235486416,0.18643871394757514,,64967.51977380738,65732.35677592749,66358.17669095706,64994.19439040041,1363.9823005566432,3,True
california_housing,regression,controlled_mlp,orthogonal_one,one,total_rooms,0.12843973923184834,0.052522250286017196,0.18455041725073137,,64967.51977380738,64890.52141247142,65509.34312099656,64374.13274064072,1135.2103803558348,3,True
california_housing,regression,tabicl_v2,condition_le_3_all,all,total_rooms,0.18696539153476058,0.0,0.1946687061437922,,58786.472722064536,60998.026526955575,63093.738295791256,59689.87673994383,3403.8615558474266,3,True
california_housing,regression,tabicl_v2,orthogonal_all,all,total_rooms,0.18642436835869103,0.0,0.20328016913227662,,58786.472722064536,61148.18557774238,63013.41753015739,59782.33038736774,3231.087142789642,3,True
california_housing,regression,tabicl_v2,orthogonal_one,one,total_rooms,0.09719648049974455,0.0,0.1040979390174389,,58786.472722064536,59655.292218845374,60097.09928786542,58914.272542308485,1182.8267455569367,3,True
california_housing,regression,tabm_d,condition_le_3_all,all,total_rooms,0.17734086640339572,0.002483532365557581,0.19080859129756847,,61010.79201650086,62967.3031696243,63953.151722065544,61522.181786772264,2430.9699352932876,3,True
california_housing,regression,tabm_d,orthogonal_all,all,total_rooms,0.1740225205351066,0.0033029522380068933,0.214149354389265,,61010.79201650086,63040.239896890336,64750.412168920935,61849.84891198293,2900.563256937998,3,True
california_housing,regression,tabm_d,orthogonal_one,one,total_rooms,0.052660494059765674,0.001390002177319158,0.0597362052768255,,61010.79201650086,61254.49935380299,61528.58946575666,61028.339296079175,500.2501696774901,3,True
california_housing,regression,tabpfn_2_6,condition_le_3_all,all,total_rooms,0.17825546517823523,0.011933928156019622,0.20061797118118574,,53263.7016047136,56200.48437838984,57801.136563512664,55198.62046570976,2602.5160978029016,3,True
california_housing,regression,tabpfn_2_6,orthogonal_all,all,total_rooms,0.18010050106496567,0.016402198315702027,0.1982206531577587,,53263.7016047136,55457.99412839069,56563.45308218821,53977.934822512216,2585.5182596759864,3,True
california_housing,regression,tabpfn_2_6,orthogonal_one,one,total_rooms,0.07264633970891826,0.015293474220508484,0.08128168019755427,,53263.7016047136,53771.55687241856,54116.070098546006,53365.34128948664,750.7288090593671,3,True
cpu_small,regression,catboost,condition_le_3_all,all,freeswap,0.0905340734742987,0.0030320745751097966,0.10365584019489267,,4.57567737733153,4.507720550182802,4.758408068577282,4.374581387647184,0.3838266809300975,3,True
cpu_small,regression,catboost,orthogonal_all,all,freeswap,0.09019061986075672,0.0043382268933298,0.10570159516366219,,4.57567737733153,4.594222249739068,4.921920341143484,4.259629199505827,0.6622911416376563,3,True
cpu_small,regression,catboost,orthogonal_one,one,freeswap,0.04384284227958001,0.0037801837518742143,0.049324648692106295,,4.57567737733153,4.623653170312411,4.762803416746807,4.539592153487869,0.22321126325893795,3,False
cpu_small,regression,controlled_mlp,condition_le_3_all,all,freeswap,0.085201032280948,0.00782063766412494,0.1083009288754571,,3.872245240682536,3.9470886718906293,4.12623389694495,3.810077208811935,0.3161566881330158,3,True
cpu_small,regression,controlled_mlp,orthogonal_all,all,freeswap,0.07665304722926912,0.01810161957613843,0.09520989595760883,,3.872245240682536,3.8976325872355098,4.002795590762308,3.812874800658335,0.18992079010397248,3,True
cpu_small,regression,controlled_mlp,orthogonal_one,one,freeswap,0.058324987230148395,0.015915689800894386,0.07326816257610497,,3.872245240682536,3.8573703481660773,3.912128062233427,3.8033124997033787,0.10881556253004836,3,True
cpu_small,regression,tabicl_v2,condition_le_3_all,all,freeswap,0.10025041497880123,0.0,0.1040628506747525,,3.258387845482737,3.464730557337843,3.542597008491244,3.4070220407577234,0.1355749677335205,3,True
cpu_small,regression,tabicl_v2,orthogonal_all,all,freeswap,0.09742250611299562,0.0,0.10615851161875171,,3.258387845482737,3.4033013637383434,3.5469295159905485,3.192197859685626,0.35473165630492254,3,True
cpu_small,regression,tabicl_v2,orthogonal_one,one,freeswap,0.07803346147394649,0.0,0.10443519294094879,,3.258387845482737,3.2604200143759967,3.396451995556633,3.171080914921845,0.22537108063478817,3,True
cpu_small,regression,tabm_d,condition_le_3_all,all,freeswap,0.1032849681725939,0.0005647378906412106,0.14518861577160022,,3.5641830667359753,4.00114423157691,4.655397916951899,3.7819261566599316,0.8734717602919679,3,True
cpu_small,regression,tabm_d,orthogonal_all,all,freeswap,0.09752958945550454,0.001007917337841412,0.13758115458752157,,3.5641830667359753,3.8828240013504565,4.611133040717947,3.4928982555816384,1.1182347851363086,3,True
cpu_small,regression,tabm_d,orthogonal_one,one,freeswap,0.05220274854489765,0.0007056684886848554,0.08366527731947744,,3.5641830667359753,3.610153239797388,4.049928373846321,3.447634586381047,0.602293787465274,3,True
cpu_small,regression,tabpfn_2_6,condition_le_3_all,all,freeswap,0.0752254636847534,0.0020995358048161187,0.08511378053177188,,2.8803371935977107,3.094707644653084,3.155896657413748,3.0470420492392525,0.10885460817449522,3,True
cpu_small,regression,tabpfn_2_6,orthogonal_all,all,freeswap,0.07061593029606862,0.002938200045848442,0.08021633135143368,,2.8803371935977107,3.0501327257703577,3.104113052894538,2.9981453552226043,0.10596769767193355,3,True
cpu_small,regression,tabpfn_2_6,orthogonal_one,one,freeswap,0.035072213995672445,0.002815061643024164,0.039220399913585696,,2.8803371935977107,2.832621126266215,2.853589391933742,2.8022914877433287,0.05129790419041299,3,False
credit-g,classification,catboost,condition_le_3_all,all,credit_amount,0.08524545619638087,0.005092531379119302,0.09452419407966534,0.07291666666666667,0.4785885407111003,0.49275330532609424,0.5073410189271603,0.4718063663796233,0.03553465254753698,3,True
credit-g,classification,catboost,orthogonal_all,all,credit_amount,0.08650756127306707,0.003955476218126266,0.10137610894408022,0.07770833333333334,0.4785885407111003,0.48807165921817086,0.4990026898195095,0.4726156186608163,0.026387071158693265,3,True
credit-g,classification,catboost,orthogonal_one,one,credit_amount,0.08419683340560669,0.007874852918607088,0.09204590632962194,0.07729166666666666,0.4785885407111003,0.48238997292644176,0.4951780523865903,0.4692911107988511,0.025886941587739187,3,True
credit-g,classification,controlled_mlp,condition_le_3_all,all,credit_amount,0.060120433339211875,0.020253210845154968,0.07264605572048466,0.050833333333333335,0.4969831219042244,0.5053835851954965,0.5187953672929151,0.4891027789165436,0.02969258837637151,3,True
credit-g,classification,controlled_mlp,orthogonal_all,all,credit_amount,0.053212088675823443,0.025021593215684663,0.06830498778822947,0.043333333333333335,0.4969831219042244,0.5068580707406936,0.5186366375645115,0.49807942487313933,0.02055721269137219,3,True
credit-g,classification,controlled_mlp,orthogonal_one,one,credit_amount,0.045673211917350444,0.02011605574982718,0.06345345777930303,0.042083333333333334,0.4969831219042244,0.5062938056367318,0.5167414808460239,0.491588230130466,0.02515325071555787,3,True
credit-g,classification,tabicl_v2,condition_le_3_all,all,credit_amount,0.05029140616059144,0.0,0.0577992751436604,0.053125000000000006,0.4758349963276596,0.4805624868465934,0.48776219797383263,0.4693429433001209,0.018419254673711694,3,True
credit-g,classification,tabicl_v2,orthogonal_all,all,credit_amount,0.05166508132312583,0.0,0.0660838310415734,0.055625,0.4758349963276596,0.48225045127064936,0.4921238342305873,0.4757366226113615,0.016387211619225794,3,True
