dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m0,0,False,validation,60982.9034000218,0.1401678632180718,1.3053345368243754,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m0,0,False,test,65181.27255218346,0.13714953235635444,1.3053345368243754,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m1,1,False,validation,61504.54933096822,0.09045702279303632,0.9875047081150115,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m1,1,False,test,65058.571123568756,0.09449066840865,0.9875047081150115,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m2,2,False,validation,61964.87430917469,0.08307071165553905,1.024134541163221,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m2,2,False,test,64703.95167333375,0.08971809793268931,1.024134541163221,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m3,3,False,validation,62303.74760929378,0.10835487254206855,0.9210925789084285,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m3,3,False,test,64351.19170757086,0.11110827852499891,0.9210925789084285,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m4,4,False,validation,61609.29547739059,0.13003944714051288,1.337147822137922,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m4,4,False,test,64897.343458411764,0.13672849049320943,1.337147822137922,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m5,5,False,validation,62166.5938410098,0.059035041780203815,0.9579317888710648,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m5,5,False,test,65601.57763964622,0.06801106041557924,0.9579317888710648,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m6,6,False,validation,61853.262796956355,0.059086232827508536,0.9820466870442033,68.77490234375,4.067255454572778e-16
