dataset,backbone,train_mode,seed,phase_materiality,phase_spread_rms,epochs,fit_wall_seconds,parameters_total,parameters_trainable,method,rmse,mae,quotient_mse
Traffic,moment,phase_aug_train,20261212,0.5883512928433093,0.569442093372345,4,14.103151025017723,36123864,786456,exact_iid4,1.1801013452666147,0.8526128079210009,0.046323468928624476
Traffic,moment,phase_aug_train,20261212,0.5883512928433093,0.569442093372345,4,14.103151025017723,36123864,786456,phasecover4,1.1182231903076172,0.7920842170715332,0.009176918305456638
Traffic,moment,phase_aug_train,20261212,0.5883512928433093,0.569442093372345,4,14.103151025017723,36123864,786456,full8,1.164871096611023,0.838616669178009,0.0
Traffic,patchtst,canonical_train,20261211,1.0045579028263139,0.6450437903404236,12,10.284596818033606,409880,401688,canonical,0.6421170830726624,0.32668113708496094,0.7089679837226868
Traffic,patchtst,canonical_train,20261211,1.0045579028263139,0.6450437903404236,12,10.284596818033606,409880,401688,exact_iid4,1.0694187888077327,0.7239734206880842,0.059440219535359315
Traffic,patchtst,canonical_train,20261211,1.0045579028263139,0.6450437903404236,12,10.284596818033606,409880,401688,phasecover4,0.9933879971504211,0.6622118353843689,0.00892168190330267
Traffic,patchtst,canonical_train,20261211,1.0045579028263139,0.6450437903404236,12,10.284596818033606,409880,401688,full8,1.0495078563690186,0.7133100628852844,0.0
Traffic,patchtst,canonical_train,20261212,1.0603153542059869,0.6798904538154602,12,10.816427905112505,409880,401688,canonical,0.6412153244018555,0.3251570165157318,0.7853913307189941
Traffic,patchtst,canonical_train,20261212,1.0603153542059869,0.6798904538154602,12,10.816427905112505,409880,401688,exact_iid4,1.123225907768522,0.7737000005585807,0.0660358485366617
Traffic,patchtst,canonical_train,20261212,1.0603153542059869,0.6798904538154602,12,10.816427905112505,409880,401688,phasecover4,1.0369035005569458,0.7031469941139221,0.011692915111780167
Traffic,patchtst,canonical_train,20261212,1.0603153542059869,0.6798904538154602,12,10.816427905112505,409880,401688,full8,1.102974772453308,0.7635310292243958,0.0
Traffic,patchtst,phase_aug_train,20261211,0.34334861418552615,0.3486028015613556,7,5.997642767149955,409880,401688,canonical,1.0153027772903442,0.6814630031585693,0.22362186014652252
Traffic,patchtst,phase_aug_train,20261211,0.34334861418552615,0.3486028015613556,7,5.997642767149955,409880,401688,exact_iid4,0.9531107229845864,0.6048380936895098,0.017360554366106434
Traffic,patchtst,phase_aug_train,20261211,0.34334861418552615,0.3486028015613556,7,5.997642767149955,409880,401688,phasecover4,0.937268853187561,0.589341402053833,0.004539343062788248
Traffic,patchtst,phase_aug_train,20261211,0.34334861418552615,0.3486028015613556,7,5.997642767149955,409880,401688,full8,0.944132924079895,0.5947262644767761,0.0
Traffic,patchtst,phase_aug_train,20261212,0.35634455285564376,0.36396050453186035,5,4.589527833042666,409880,401688,canonical,1.0213724374771118,0.6787814497947693,0.2218245416879654
Traffic,patchtst,phase_aug_train,20261212,0.35634455285564376,0.36396050453186035,5,4.589527833042666,409880,401688,exact_iid4,1.0555625889982496,0.6950387026582445,0.018923893138500198
Traffic,patchtst,phase_aug_train,20261212,0.35634455285564376,0.36396050453186035,5,4.589527833042666,409880,401688,phasecover4,1.0359880924224854,0.6739115715026855,0.0040417443960905075
Traffic,patchtst,phase_aug_train,20261212,0.35634455285564376,0.36396050453186035,5,4.589527833042666,409880,401688,full8,1.0473014116287231,0.6858643889427185,0.0
